이미지는 3D 스펙트럼을 보여주는 표입니다. 각 행은 번호로 구분되어 있으며, 두 개의 열로 나뉘어 있습니다. 각 열은 "EMDR-Monitor"와 "EMDR-HMD(VR)"로 레이블이 붙어 있습니다. 각 셀에는 스펙트럼 이미지가 포함되어 있으며, 빨간색 점선으로 구분된 부분이 있습니다.

다음은 표를 마크다운으로 변환한 것입니다:

```markdown
| No. | EMDR-Monitor | EMDR-HMD(VR) |
|-----|--------------|--------------|
| 1   | 이미지       | 이미지       |
| 2   | 이미지       | 이미지       |
| 3   | 이미지       | 이미지       |
| 4   | 이미지       | 이미지       |
| 5   | 이미지       | 이미지       |
| 6   | 이미지       | 이미지       |
| 7   | 이미지       | 이미지       |
| 8   | 이미지       | 이미지       |
| 9   | 이미지       | 이미지       |
| 10  | 이미지       | 이미지       |
| 11  | 이미지       | 이미지       |
| 12  | 이미지       | 이미지       |
| 13  | 이미지       | 이미지       |
| 14  | 이미지       | 이미지       |
| 15  | 이미지       | 이미지       |
| 16  | 이미지       | 이미지       |
```

각 셀의 "이미지"는 해당 스펙트럼 이미지를 나타냅니다.
