```markdown
| 기준   | 중요도 | 설명                                                                 |
|------|------|--------------------------------------------------------------------|
| 기밀성 | 높음  | 기관 내부에서도 특별히 허가를 받은 사람들만이 볼 수 있어야 하며 조직 외부에 공개되는 경우 개인 정보나 기관의 업무수행에 치명적인 피해를 줄 수 있는 수준 |
| 기밀성 | 중간  | 기관 내부에 공개될 수 있으나 기관 외부에 공개되는 경우 개인 정보나 기관의 업무수행에 상당한 문제를 줄 수 있는 수준 |
| 기밀성 | 낮음  | 기관 내부에 공개되는 경우 개인 정보나 기관의 업무수행에 미치는 영향이 미미한 수준 |
| 무결성 | 높음  | 고의적으로나 우연히 변경되는 경우 개인 정보나 기관의 업무수행에 치명적인 피해를 줄 수 있는 수준 |
| 무결성 | 중간  | 고의적으로나 우연히 변경되는 경우 개인 정보나 기관의 업무수행에 상당한 문제를 줄 수 있는 수준 |
| 무결성 | 낮음  | 고의적으로나 우연히 변경되는 경우 개인 정보나 기관의 업무수행에 미치는 영향이 미미한 수준 |
| 가용성 | 높음  | 해당 업무가 중단될 경우 기관의 운영과 업무수행에 치명적인 피해를 줄 수 있는 수준 |
| 가용성 | 중간  | 해당 업무가 중단될 경우 기관의 운영과 업무수행에 상당한 문제를 발생시킬 수 있는 수준 |
| 가용성 | 낮음  | 해당 업무가 중단될 경우 기관의 운영과 업무수행에 미치는 영향이 미미한 수준 |
```
