```markdown
| 연도   | 실업자 (천명) | 실업률 (%) |
|--------|--------------|-----------|
| 2013   | 808          | 3.1       |
| 2014   | 939          | 3.5       |
| 2015   | 976          | 3.6       |
| 2016   | 1,009        | 3.7       |
| 2017   | 1,023        | 3.7       |
| 2018   | 1,073        | 3.8       |
| 2019   | 1,053        | 3.8       |
| 2020   | 1,108        | 4.0       |
| 2021   | 1,037        | 3.7       |
| 2022   | 833          | 2.9       |
| 2023   | 787          | 2.7       |
```
